algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.132,9566,8
QuickSort,random,1000,0.6477,16847,6
QuickSelect,random,1000,0.1388,4223,0
MergeSort,sorted,1000,0.0372,4236,8
QuickSort,sorted,1000,0.5897,18140,7
QuickSelect,sorted,1000,0.0952,6100,0
MergeSort,duplicates,1000,0.0618,9136,8
QuickSort,duplicates,1000,0.0213,6736,3
QuickSelect,duplicates,1000,0.0172,3983,0
MergeSort,random,10000,1.8192,127087,11
QuickSort,random,10000,1.3165,250063,9
QuickSelect,random,10000,0.2812,45935,0
MergeSort,sorted,10000,0.2242,59248,11
QuickSort,sorted,10000,0.6828,257367,8
QuickSelect,sorted,10000,0.1129,38835,0
MergeSort,duplicates,10000,0.3297,121591,11
QuickSort,duplicates,10000,0.143,51029,2
QuickSelect,duplicates,10000,0.0974,31226,0
MergeSort,random,100000,7.4626,1639131,14
QuickSort,random,100000,9.7204,3039230,11
QuickSelect,random,100000,1.0056,333639,0
MergeSort,sorted,100000,1.5755,744016,14
QuickSort,sorted,100000,5.2886,3159700,10
QuickSelect,sorted,100000,0.2419,391678,0
MergeSort,duplicates,100000,3.8438,1562121,14
QuickSort,duplicates,100000,1.4966,600856,3
QuickSelect,duplicates,100000,0.9406,310240,0
MergeSort,random,1000000,91.1493,19893177,18
QuickSort,random,1000000,102.6982,36717989,13
QuickSelect,random,1000000,11.4712,6603297,0
MergeSort,sorted,1000000,20.6773,9071040,18
QuickSort,sorted,1000000,53.8631,37255586,13
QuickSelect,sorted,1000000,3.4056,5188001,0
MergeSort,duplicates,1000000,43.0365,18919056,18
QuickSort,duplicates,1000000,16.0741,7698966,3
QuickSelect,duplicates,1000000,9.4793,2899804,0
